"Time(s)"," X"," Y"," Z"
"1418209733.862","520","-232","-480"
"1418209733.945","904","-24","-912"
"1418209734.028","792","-120","-584"
"1418209734.111","632","-392","-520"
"1418209734.194","856","-16","-816"
"1418209734.277","736","-280","-584"
"1418209734.360","728","-344","-424"
"1418209734.443","880","-88","-880"
"1418209734.526","736","-296","-352"
"1418209734.609","648","-376","-528"
"1418209734.692","856","-136","-896"
"1418209734.775","808","-304","-480"
"1418209734.858","704","-408","-456"
"1418209734.941","840","-72","-896"
"1418209735.024","784","-280","-432"
"1418209735.107","728","-408","-480"
"1418209735.195","832","-168","-832"
"1418209735.273","856","-232","-560"
"1418209735.356","768","-336","-400"
"1418209735.439","776","-280","-584"
"1418209735.522","776","-360","-528"
"1418209735.605","752","-296","-568"
"1418209735.688","840","-152","-784"
"1418209735.772","848","-184","-648"
"1418209735.855","784","-240","-504"
"1418209735.939","728","-320","-592"
"1418209736.021","728","-288","-504"
"1418209736.696","864","-176","-720"
"1418209736.768","696","-272","-288"
"1418209736.855","680","-320","-392"
"1418209736.934","784","-256","-672"
"1418209737.017","816","-264","-648"
"1418209737.100","784","-328","-504"
"1418209737.184","848","-160","-664"
"1418209737.268","760","-320","-368"
"1418209737.349","680","-368","-368"
"1418209737.432","840","-264","-632"
"1418209737.515","840","-272","-784"
"1418209737.598","800","-248","-600"
"1418209737.931","784","-296","-680"
"1418209738.014","768","-288","-560"
"1418209738.098","720","-408","-400"
"1418209738.180","736","-344","-592"
"1418209738.263","800","-312","-600"
"1418209738.346","784","-320","-568"
"1418209738.429","760","-368","-552"
"1418209738.512","768","-360","-656"
"1418209738.680","752","-344","-592"
"1418209738.761","752","-352","-576"
"1418209738.844","728","-392","-528"
"1418209738.927","768","-344","-568"
"1418209739.010","800","-352","-560"
"1418209739.093","744","-400","-504"
"1418209739.176","784","-336","-640"
"1418209739.260","712","-496","-584"
"1418209739.343","736","-480","-568"
"1418209739.426","696","-496","-440"
"1418209739.509","840","-272","-664"
"1418209739.592","808","-288","-624"
"1418209739.675","704","-392","-544"
"1418209739.758","608","-528","-600"
"1418209739.841","824","-392","-592"
"1418209739.924","856","-264","-752"
"1418209740.007","656","-376","-520"
"1418209740.090","600","-392","-568"
"1418209740.173","672","-424","-504"
"1418209740.256","776","-240","-728"
"1418209740.339","824","-240","-600"
"1418209740.422","824","-232","-680"
"1418209740.505","672","-424","-616"
"1418209740.673","792","-344","-616"
"1418209740.755","880","-128","-904"
"1418209740.838","712","-376","-536"
"1418209740.921","560","-264","-288"
"1418209741.004","608","216","-696"
"1418209741.087","736","464","-432"
"1418209741.170","656","624","-264"
"1418209741.253","704","688","-104"
"1418209741.336","656","600","-280"
"1418209741.420","720","672","-296"
"1418209741.502","832","648","-80"
"1418209741.590","720","600","-368"
"1418209741.668","608","608","-272"
"1418209743.472","664","600","-368"
"1418209743.580","560","544","-464"
"1418209743.663","720","648","-176"
"1418209743.746","840","680","-264"
"1418209743.829","632","472","-472"
"1418209743.912","784","568","-88"
"1418209743.995","672","576","-520"
"1418209744.078","800","584","-104"
"1418209744.161","728","568","-416"
"1418209744.244","792","616","-192"
"1418209744.327","752","576","-424"
"1418209744.410","744","560","-232"
"1418209744.493","792","576","-296"
"1418209744.576","688","560","-416"
"1418209744.659","696","576","-304"
"1418209744.742","824","552","-288"
"1418209745.075","768","520","-288"
"1418209745.158","752","488","-416"
"1418209745.241","688","512","-352"
"1418209745.324","776","624","-240"
"1418209745.407","744","504","-440"
"1418209745.490","760","520","-264"
"1418209745.573","792","592","-336"
"1418209745.656","768","424","-584"
"1418209745.739","744","320","-416"
"1418209745.823","784","664","-280"
"1418209745.911","752","360","-648"
"1418209745.989","736","384","-352"
"1418209746.072","832","624","-296"
"1418209746.155","704","296","-656"
"1418209746.238","680","480","-336"
"1418209746.321","624","584","-360"
"1418209746.404","424","256","-304"
"1418209746.487","368","432","-80"
"1418209746.653","368","864","104"
"1418209746.736","128","1088","176"
"1418209746.819","-16","1192","56"
"1418209746.902","-216","1016","224"
"1418209746.985","-368","1000","160"
"1418209747.068","-416","1032","328"
"1418209747.151","-520","1000","264"
"1418209747.234","-616","1000","192"
"1418209747.317","-624","976","232"
"1418209747.401","-640","1088","232"
"1418209747.484","-616","1168","256"
"1418209747.567","-632","1048","48"
"1418209747.650","-576","984","-16"
"1418209747.733","-480","848","8"
"1418209747.816","-352","616","-88"
"1418209747.899","-160","336","-200"
"1418209747.982","-128","480","-760"
"1418209748.065","-1344","1744","1680"
"1418209748.148","-960","1160","-360"
"1418209748.231","-720","760","-72"
"1418209748.314","-616","632","-248"
"1418209748.397","-584","704","-184"
"1418209749.074","-592","816","-64"
"1418209749.144","-560","864","-56"
"1418209749.227","-576","824","-48"
"1418209749.311","-568","800","-8"
"1418209749.394","-264","928","-96"
"1418209749.477","64","1056","-128"
"1418209749.560","-144","768","32"
"1418209749.643","-720","1008","-48"
"1418209749.726","-1016","896","144"
"1418209749.809","-872","768","-256"
"1418209749.892","-584","744","376"
"1418209749.977","-416","936","208"
"1418209750.058","-440","896","192"
"1418209750.141","-504","768","8"
"1418209750.224","-560","672","32"
"1418209750.307","-608","776","8"
"1418209750.390","-496","1064","-256"
"1418209750.473","-592","912","-464"
"1418209750.557","-792","792","192"
"1418209750.639","-784","648","32"
"1418209750.722","-672","592","-184"
"1418209750.805","-640","920","-720"
"1418209750.888","-816","1304","-200"
"1418209750.971","-288","512","-800"
"1418209751.055","-328","320","-1248"
