"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ "
"data/Raw Data Cleaned/Austin chin 2.csv","2.0759999752044678","431.6363636363636","211.45454545454547","-52.0","10","9","6","15.624108512566254","73.34625094000185","285.44804456621324","220.1818181818182","483.6363636363636","263.45454545454544"
"data/Raw Data Cleaned/Austin chin 2.csv","0.6640000343322754","129.07692307692307","70.76923076923077","-5.538461538461538","3","1","3","-152.44982977332123","24.144110656963427","-322.11690587362637","58.30769230769231","134.6153846153846","76.3076923076923"
"data/Raw Data Cleaned/Austin comb 1.csv","2.0779998302459717","465.3333333333333","340.3333333333333","38.666666666666664","9","10","10","-536.7512373591298","-687.6636902573749","-877.6367262223101","125.0","426.6666666666667","301.6666666666667"
"data/Raw Data Cleaned/Austin comb 1.csv","2.076000213623047","-87.16666666666667","-121.0","-310.6666666666667","11","10","8","-286.8229745868346","552.2176799109503","106.88248200947561","33.833333333333336","223.5","189.66666666666666"
"data/Raw Data Cleaned/Austin comb 1.csv","2.0769999027252197","-103.2","-53.48571428571429","-280.6857142857143","9","8","11","194.1757460838568","730.5835029937658","175.63175843095019","-49.714285714285715","177.4857142857143","227.2"
"data/Raw Data Cleaned/Austin comb 1.csv","1.74399995803833","-59.41573033707865","65.52808988764045","-116.85393258426966","6","6","6","1902.6943489596524","834.5415050288393","305.05026225120196","-124.9438202247191","57.438202247191015","182.38202247191012"
"data/Raw Data Cleaned/Austin comb 2.csv","2.0749998092651367","420.3333333333333","373.6666666666667","-111.66666666666667","11","10","11","-260.13003689849364","378.6387899580675","-320.71871758979944","46.666666666666664","532.0","485.3333333333333"
"data/Raw Data Cleaned/Austin comb 2.csv","2.076000213623047","-60.833333333333336","-169.83333333333334","-362.0","11","14","11","-210.22642714407124","-782.9500371701942","-905.4285995244428","109.0","301.1666666666667","192.16666666666666"
"data/Raw Data Cleaned/Austin comb 2.csv","2.0749998092651367","-59.25423728813559","-1.0847457627118644","-181.5593220338983","4","3","6","-335.9466583105842","337.22912310124946","-531.6899072897529","-58.16949152542373","122.30508474576271","180.47457627118644"
"data/Raw Data Cleaned/Austin comb 2.csv","2.0759999752044678","19.85542168674699","61.975903614457835","-174.0722891566265","10","14","7","702.7042310132264","299.2110844532162","956.8705787585891","-42.12048192771084","193.9277108433735","236.04819277108433"
"data/Raw Data Cleaned/Austin comb 2.csv","0.49900007247924805","68.2247191011236","22.202247191011235","9.97752808988764","3","5","3","-271.290116466865","-937.8787540613788","527.1824632529922","46.02247191011236","58.247191011235955","12.224719101123595"
"data/Raw Data Cleaned/Austin draw 1.csv","2.065000057220459","-450.56","852.8","-217.28","11","10","8","118.91397892798058","158.52611156524236","252.77192033521533","-1303.36","-233.28","1070.08"
"data/Raw Data Cleaned/Austin draw 1.csv","2.0759999752044678","-224.96","456.32","-101.92","11","12","13","-17.783852169736097","-52.69794938758849","-111.24256125063738","-681.28","-123.04","558.24"
"data/Raw Data Cleaned/Austin draw 1.csv","2.0759999752044678","-110.3768115942029","258.4347826086956","-40.231884057971016","9","7","8","24.881425502077505","-49.74461277545232","-25.790741638868713","-368.81159420289856","-70.14492753623189","298.6666666666667"
"data/Raw Data Cleaned/Austin draw 1.csv","2.078000068664551","-82.04444444444445","225.51111111111112","-4.444444444444445","9","9","9","28.298280973484008","-39.783429586392835","192.9610232215241","-307.55555555555554","-77.6","229.95555555555555"
