"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","890.0","212.0","-762.0","1","2","1","825.2847422218232","702.1613878073825","1378.9067903743708","678.0","1652.0","974.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1048.0","186.0","-1028.0","2","2","2","-130.13417872108366","-498.51256017896765","-651.0926042216579","862.0","2076.0","1214.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1252.0","180.0","-1134.0","2","2","2","261.0319476126276","-254.7849175925322","742.5605569348121","1072.0","2386.0","1314.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1292.0","290.0","-1142.0","2","1","3","169.72645035848274","-76.95907712213398","397.807337274187","1002.0","2434.0","1432.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1272.0","182.0","-1092.0","2","2","2","65.20993322220495","-503.15761678260066","-716.7762682172491","1090.0","2364.0","1274.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1406.0","244.0","-1048.0","2","1","2","209.78792752315152","-37.29519070177215","198.8843623554138","1162.0","2454.0","1292.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1546.0","170.0","-1298.0","3","2","3","-605.0359999699974","-1147.2864661133992","-944.8468492072398","1376.0","2844.0","1468.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1090.0","-82.0","-1020.0","1","2","1","-557.8923071570475","-725.8786270148458","-1258.5240880625474","1172.0","2110.0","938.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1122.0","-110.0","-1100.0","1","1","1","289.1515033354866","-661.8531465001577","-398.39749445752994","1232.0","2222.0","990.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1098.0","-178.0","-1028.0","2","1","1","173.48877565277317","359.83428136381156","681.121297247796","1276.0","2126.0","850.0","Brush Teeth","Brush Teeth"
