Average X, Average Y, Average Z, Number of Peaks X, Number of Peaks Y, Number of Peaks Z, Average Slope X, Average Slope Y, Average Slope Z, Average XY, Average XZ, Average YZ , Activity
-825.6,398.4,-494.4,3,5,5,-107.7267011,-534.4373388,195.8759511,-1224,-331.2,892.8,Brush Teeth
-886.4,166.4,-482.4,5,2,6,138.2725352,58.73694285,-352.9065803,-1052.8,-404,648.8,Brush Teeth
-906.4,158.4,-482.4,3,5,4,150.9140772,-90.53462635,-266.8730402,-1064.8,-424,640.8,Brush Teeth
-896,46.4,-423.2,3,5,4,-69.53511459,-113.9149009,150.7212422,-942.4,-472.8,469.6,Brush Teeth
-856,249.6,-378.4,5,3,4,249.7538084,330.9415443,144.0155118,-1105.6,-477.6,628,Brush Teeth
-725.6,802.4,-17.6,3,4,5,189.0737473,-66.29718536,-77.13353491,-1528,-708,820,Brush Teeth
-672,856,-22.4,5,4,6,321.3529456,145.515597,-143.741649,-1528,-649.6,878.4,Brush Teeth
-296.8,883.2,-359.2,4,4,7,41.3292101,67.3592049,-318.7307743,-1180,62.4,1242.4,Brush Teeth
-269.6,899.2,-422.4,4,5,6,-96.13066688,0.127392852,0.637456471,-1168.8,152.8,1321.6,Brush Teeth
-303.2,901.6,-373.6,5,6,2,23.20674022,55.11502922,203.3909187,-1204.8,70.4,1275.2,Brush Teeth
-292.8,929.6,-350.4,2,3,3,102.5512535,20.44522547,35.69718417,-1222.4,57.6,1280,Brush Teeth
334.4,459.2,-770.4,2,5,4,545.0677739,-226.1684595,56.25018302,-124.8,1104.8,1229.6,Brush Teeth
480.8,221.6,-894.4,6,6,4,-609.1430046,-733.6948774,-299.1271304,259.2,1375.2,1116,Brush Teeth
504,45.6,-893.6,4,3,6,1460.539353,736.4717716,-401.6223057,458.4,1397.6,939.2,Brush Teeth
542.4,137.6,-791.2,4,3,4,996.3795113,1434.482072,-607.7741037,404.8,1333.6,928.8,Brush Teeth
569.6,292.8,-673.6,5,5,5,-270.6036481,-933.2843273,762.9229184,276.8,1243.2,966.4,Brush Teeth
692,362,-942,1,1,2,639.5992233,1308.067277,-650.6511487,330,1634,1304,Brush Teeth
477.6,35.2,-895.2,4,3,5,836.3391138,789.0456211,-191.9950843,442.4,1372.8,930.4,Brush Teeth
536.8,279.2,-705.6,3,4,4,987.5344413,1866.358674,-311.9546749,257.6,1242.4,984.8,Brush Teeth
523.2,702.4,-404,4,5,5,214.5740433,1078.730285,-55.71398478,-179.2,927.2,1106.4,Brush Teeth
388,741.6,-384,5,4,4,203.479894,1392.23303,460.5075625,-353.6,772,1125.6,Brush Teeth
421.6,729.6,-396.8,6,5,6,-224.9005789,-1231.599981,-953.1493209,-308,818.4,1126.4,Brush Teeth
338.4,964.8,-92.8,5,4,4,-34.62479482,61.83906864,-356.6731753,-626.4,431.2,1057.6,Brush Teeth
444.8,938.4,-2.4,3,4,3,317.8428448,1722.956827,537.8969856,-493.6,447.2,940.8,Brush Teeth
414.4,744,-312,5,6,5,-177.4008269,-478.4958365,-789.3926422,-329.6,726.4,1056,Brush Teeth
397.6,780,-424,5,5,5,-278.6796957,-814.8382205,-603.3759757,-382.4,821.6,1204,Brush Teeth
525.6,100,-786.4,5,5,5,-255.5479935,1140.648216,-373.5987584,425.6,1312,886.4,Brush Teeth
498.4,644.8,-492,5,5,3,-750.9374389,-1133.825787,-343.7002293,-146.4,990.4,1136.8,Brush Teeth
511.2,700.8,-492,4,4,4,-348.1142924,-726.9243018,-859.4791221,-189.6,1003.2,1192.8,Brush Teeth
480.8,568.8,-588,4,4,3,332.7643941,499.8702928,289.7713714,-88,1068.8,1156.8,Brush Teeth
542.4,668.8,-480,5,5,5,-517.0032629,-987.5566521,-1084.956327,-126.4,1022.4,1148.8,Brush Teeth
508,332.8,-718.4,5,5,6,132.8514577,-242.2358418,-220.0528918,175.2,1226.4,1051.2,Brush Teeth
476.8,462.4,-611.2,4,3,3,-291.8445705,513.199076,328.1677635,14.4,1088,1073.6,Brush Teeth
528,740,-372,5,6,4,-397.938336,-1215.012239,-308.5754967,-212,900,1112,Brush Teeth
440,809.6,-454.4,5,5,5,-93.19748088,-1202.646222,-756.2893896,-369.6,894.4,1264,Brush Teeth
366.4,658.4,-647.2,4,4,3,114.878311,1189.885588,877.2248749,-292,1013.6,1305.6,Brush Teeth
372.8,649.6,-597.6,5,4,5,-158.0461868,-307.1870229,-546.7258414,-276.8,970.4,1247.2,Brush Teeth
374.4,672.8,-604.8,6,5,6,-149.9335962,-781.7915944,-706.8295645,-298.4,979.2,1277.6,Brush Teeth
420.8,817.6,-319.2,4,6,5,-25.12564151,-1534.950018,-456.0638366,-396.8,740,1136.8,Brush Teeth
437.6,324,-593.6,7,5,4,-887.4911512,257.9208502,569.4088879,113.6,1031.2,917.6,Brush Teeth
-541.6,679.2,-865.6,4,4,5,-482.8214996,-72.54370211,-452.3487234,-1220.8,324,1544.8,Brush Teeth
341.6,562.4,-580,3,5,4,934.8128641,-169.20634,-443.8433281,-220.8,921.6,1142.4,Brush Teeth
465.6,568,-601.6,4,4,4,363.7316096,236.004328,154.5196081,-102.4,1067.2,1169.6,Brush Teeth
477.6,612.8,-603.2,5,5,3,-865.1780938,-929.3085102,-736.0251727,-135.2,1080.8,1216,Brush Teeth
460.8,712.8,-503.2,4,4,6,52.22976637,143.4875282,-443.3233113,-252,964,1216,Brush Teeth
512.8,700.8,-530.4,4,4,4,160.4011571,1.790342798,81.40362141,-188,1043.2,1231.2,Brush Teeth
553.6,352,-738.4,5,4,4,178.2371744,15.935132,45.76884548,201.6,1292,1090.4,Brush Teeth
520,553.6,-588.8,6,6,6,-517.7517909,-1197.293803,-845.9203715,-33.6,1108.8,1142.4,Brush Teeth
568,692.8,-346.4,4,3,3,-209.9840536,-372.795781,139.2207012,-124.8,914.4,1039.2,Brush Teeth
570.4,764,-174.4,5,5,5,-374.4499985,-944.6578908,-436.6832758,-193.6,744.8,938.4,Brush Teeth
534.4,736,-219.2,4,5,5,-155.6006851,-350.637126,-863.3545402,-201.6,753.6,955.2,Brush Teeth
545.6,822.4,-68,4,5,5,-302.1708964,-1074.339753,-1981.802312,-276.8,613.6,890.4,Brush Teeth
516,771.2,-104,4,4,6,-261.5725483,-331.4814826,-1378.399105,-255.2,620,875.2,Brush Teeth
498.4,777.6,-337.6,5,5,5,-1087.143278,-1668.64384,-3136.86612,-279.2,836,1115.2,Brush Teeth
484,790.4,-439.2,4,4,6,-76.24026082,-346.4000632,-1731.496781,-306.4,923.2,1229.6,Brush Teeth
352,402.4,-899.2,5,4,6,267.2355628,14.3087191,-534.5592155,-50.4,1251.2,1301.6,Brush Teeth
482.4,742.4,-442.4,4,4,4,1382.644959,1535.008508,36.26269248,-260,924.8,1184.8,Brush Teeth
521.6,746.4,-230.4,3,4,3,577.173987,823.5671884,265.9824005,-224.8,752,976.8,Brush Teeth
596,824,-99.2,6,4,3,-424.5247551,-917.4626458,-133.2283009,-228,695.2,923.2,Brush Teeth
591.2,789.6,-90.4,6,6,4,-589.1306316,-813.9656853,-329.2907715,-198.4,681.6,880,Brush Teeth
592.8,921.6,-201.6,5,5,4,160.6423082,-829.9845744,-851.4017062,-328.8,794.4,1123.2,Brush Teeth
447.2,585.6,-597.6,5,4,3,-59.29588281,445.0516152,307.7403175,-138.4,1044.8,1183.2,Brush Teeth
380,688.8,-412.8,6,4,3,-131.3619275,-306.6620745,612.3414821,-308.8,792.8,1101.6,Brush Teeth
456,990.4,-7.2,4,4,4,174.9234867,17.21364442,574.2387192,-534.4,463.2,997.6,Brush Teeth
384.8,548.8,-746.4,3,4,6,418.3676391,353.1347523,-66.02248495,-164,1131.2,1295.2,Brush Teeth
377.6,397.6,-877.6,5,5,5,123.091578,306.1998138,-550.2218367,-20,1255.2,1275.2,Brush Teeth
459.2,616,-587.2,5,5,4,-85.67418726,685.4133403,589.0241347,-156.8,1046.4,1203.2,Brush Teeth
522.6666667,685.3333333,-378.6666667,1,1,1,321.2852863,1216.124438,641.3807712,-162.6666667,901.3333333,1064,Brush Teeth
-290.4,788,-512,1,2,5,2284.902219,253.469813,487.6377082,-1078.4,221.6,1300,Raise Arm
680,98.4,-348,3,5,6,761.7449596,11.54592442,117.5258669,581.6,1028,446.4,Combing Hair
780.8,254.4,-658.4,6,3,4,-552.0836601,106.4082459,27.19116855,526.4,1439.2,912.8,Combing Hair
560.8,-34.4,-694.4,3,4,4,428.3794577,-439.0894925,-267.7413948,595.2,1255.2,660,Combing Hair
620,-32.8,-831.2,5,4,5,-336.0560414,918.3091117,-675.3134936,652.8,1451.2,798.4,Combing Hair
467.2,-125.6,-681.6,4,5,4,53.75351861,-797.5766992,-696.4644646,592.8,1148.8,556,Combing Hair
669.6,81.6,-592.8,4,4,6,289.1531584,-321.2869236,-149.9351651,588,1262.4,674.4,Combing Hair
633.6,60,-658.4,6,3,4,133.2297021,-402.3717027,1135.721338,573.6,1292,718.4,Combing Hair
692,-209.6,-615.2,5,5,6,-262.6810929,-63.30132948,-146.8342195,901.6,1307.2,405.6,Combing Hair
112,154.4,-408.8,6,4,5,-1200.802141,1998.594754,-68.89923476,-42.4,520.8,563.2,Lower Arm
-948,596,-438,3,2,2,-682.2605107,-0.963180747,-14.43265502,-1544,-510,1034,Inactive
-257.6,893.6,-458.4,4,4,2,-13.85848229,-4.511683818,63.2660169,-1151.2,200.8,1352,Drawing
-261.6,874.4,-484.8,5,4,3,-49.71496116,55.90384976,38.72460649,-1136,223.2,1359.2,Drawing
-258.4,876.8,-493.6,2,4,4,85.80354823,30.98080659,62.5991583,-1135.2,235.2,1370.4,Drawing
-259.2,866.4,-517.6,4,4,4,11.93469833,61.23092589,-104.4172806,-1125.6,258.4,1384,Drawing
-248,884.8,-484,3,4,4,19.89658108,52.45406915,86.52543199,-1132.8,236,1368.8,Drawing
-283.2,864.8,-471.2,4,4,4,177.5783669,-16.82841527,48.53806895,-1148,188,1336,Drawing
-274.4,860.8,-505.6,4,3,5,-4.975057318,-69.21625595,64.13257693,-1135.2,231.2,1366.4,Drawing
-277.6,878.4,-446.4,5,4,4,-31.49138663,10.32714869,-24.86232223,-1156,168.8,1324.8,Drawing
-284.8,907.2,-480,5,3,4,-113.822453,346.1023462,191.5979812,-1192,195.2,1387.2,Drawing
-225.1428571,908.5714286,-357.7142857,3,4,4,-202.2903903,53.54770267,-254.647892,-1133.714286,132.5714286,1266.285714,Drawing
